#{"t_start": 1774783934.0679562, "env_id": "None"}
r,l,t
-9.661356,14,12.585867
-11.69753,16,12.599877
-10.777952,12,12.607564
-8.010116,11,12.620126
-4.189455,18,12.63657
-3.170522,11,12.63657
-8.000924,12,12.657557
3.252581,12,13.653157
-7.387225,12,13.669764
-11.264755,11,13.669764
-4.937293,16,13.686509
2.714236,12,13.712646
-6.001134,11,13.726374
-3.222126,12,13.737745
-4.937155,13,13.761811
-0.882186,11,13.769998
-1.434506,14,13.794656
-7.159508,15,13.810552
1.08902,11,13.838597
-5.652526,11,13.855566
-7.340017,12,13.871288
0.785958,11,13.887289
0.87197,10,13.900299
1.419785,11,13.922451
-10.125477,15,13.944465
-9.807577,12,13.971485
-15.265066,12,13.988499
-7.692976,12,14.012213
-7.364051,16,14.029311
-6.316725,11,14.040319
-1.251499,10,14.049317
-2.869693,14,14.062885
-12.579615,16,14.080142
-4.625194,13,14.09427
-11.162996,14,14.109611
-0.12805,15,14.124203
-10.097716,15,14.138211
-10.094818,13,14.150207
-7.256941,11,14.162037
1.132193,10,14.173036
2.008371,14,14.186039
-8.582892,12,14.198057
2.698364,12,14.212112
-11.001097,13,14.225135
-7.716285,11,14.235134
-5.195659,13,14.25031
-14.081843,16,14.266412
5.922805,13,14.28026
-7.131351,11,14.292789
-14.274812,14,14.307824
2.986759,11,14.325452
-5.405849,12,14.33545
-4.744813,12,14.34846
-7.410593,12,14.364752
-5.104167,15,14.382748
-0.042287,14,14.396755
-3.218809,13,14.408789
-5.062009,11,14.419433
-6.632204,14,14.432516
-13.616343,14,14.44852
-7.136754,13,14.463177
-7.987953,11,14.474174
-3.142694,11,14.483174
1.293612,11,14.499044
1.858443,11,14.509513
-3.537578,13,14.53682
1.024022,12,14.55369
-7.056734,15,14.570073
-7.548447,12,14.586524
-0.646385,11,14.586524
-4.60874,13,14.607765
-12.714778,14,14.619763
-5.163575,12,14.640503
2.869525,11,14.654786
-0.270137,12,14.664496
2.763511,10,14.669805
-1.176504,14,14.686504
-9.218588,15,14.703915
-6.822192,10,14.708103
-5.312959,9,14.719802
-10.122869,14,14.719802
-8.855775,10,14.736425
-8.402263,13,14.753611
-4.664039,10,14.757838
-9.794732,13,14.775927
-8.478311,11,14.784949
-7.500453,14,14.803112
-2.735939,12,14.807981
-7.181375,13,14.820014
0.266592,10,15.876502
2.924075,11,15.900198
-6.367855,13,15.922326
-1.426704,13,15.938505
1.272854,12,15.950762
-3.131831,13,15.973155
-2.461173,15,15.990492
-6.072586,12,16.001784
0.758822,10,16.011759
-4.548982,13,16.027875
1.291049,11,16.046657
1.373987,11,16.063832
-0.150553,12,16.070853
-8.547315,12,16.090918
-4.215825,11,16.107867
0.79918,13,16.120847
-7.627447,14,16.136241
-8.532835,13,16.157779
-2.784637,11,16.169672
-11.287824,12,16.186317
3.11542,12,16.186317
-0.896402,13,16.2078
-10.379599,15,16.226679
-8.98584,13,16.243696
-9.047852,12,16.253505
-6.878488,12,16.257735
-6.363134,16,16.269811
1.647715,14,16.292361
0.258656,11,16.303548
-4.758927,11,16.30782
2.587101,13,16.319854
-6.589443,12,16.336474
-8.863036,10,16.336474
1.595421,10,16.357836
0.194063,11,16.370977
-7.179024,12,16.370977
-3.05427,12,16.38641
-5.683067,13,16.407815
-7.506034,11,16.419744
0.211306,11,16.436438
-2.060587,13,16.453087
-2.350374,12,16.457893
-7.628048,12,16.482261
-6.993686,11,16.487488
-10.51563,12,16.508337
