episode,deliveries_completed,fuel_used,steps_taken,reward
221,0,13.487,8,-1.151
222,1,17.98,12,21.076
223,0,18.682,9,-2.446
224,0,17.829,11,3.688
225,0,13.275,7,-4.878
226,0,14.405,8,-1.64
227,1,15.01,10,14.86
228,0,15.055,9,0.92
229,0,17.728,9,-7.834
230,0,15.712,9,3.599
231,0,13.118,9,3.366
232,0,13.772,10,6.165
233,0,18.32,9,-1.695
234,0,17.94,11,-7.155
235,0,17.794,10,-4.03
236,0,14.803,10,6.642
237,0,16.029,11,1.247
238,0,13.563,8,-6.609
239,1,12.094,8,13.436
240,0,17.784,12,-11.59
241,0,14.914,9,3.529
242,0,17.742,9,5.228
243,0,18.886,11,-0.411
244,0,15.756,9,4.706
245,1,16.544,8,16.75
246,0,16.061,11,6.16
247,0,15.964,9,-2.046
248,0,18.167,13,4.333
249,0,18.744,12,-9.777
250,1,17.334,10,18.99
251,0,15.127,10,-5.624
252,0,18.967,11,2.353
253,0,13.598,7,-4.382
254,0,15.452,9,3.726
255,1,18.337,11,18.801
256,1,14.8,9,22.987
257,0,14.156,10,1.434
258,0,17.922,11,-5.267
259,0,15.733,10,4.04
260,0,17.422,10,-4.642
261,0,17.046,10,4.473
262,0,13.403,10,-6.569
263,0,13.704,8,3.23
264,0,15.053,9,-3.427
265,0,17.094,10,1.868
266,0,16.24,10,-3.0
267,0,17.671,10,4.79
268,0,17.439,9,0.804
269,1,16.24,11,11.452
270,0,14.307,8,-2.75
271,0,14.475,8,1.824
272,0,16.658,9,-4.716
273,0,15.322,9,-5.567
274,0,13.493,8,2.706
275,1,13.769,8,10.803
276,1,18.371,11,14.872
277,0,14.373,11,1.111
278,1,13.377,8,18.116
279,0,19.04,13,-3.954
280,0,18.533,11,-2.746
281,0,17.297,9,0.219
282,0,15.269,10,0.589
283,0,16.82,11,-0.607
284,0,18.557,12,0.536
285,0,13.869,10,-0.143
286,0,17.499,9,4.648
287,0,13.323,11,6.212
288,1,16.611,9,16.101
289,0,15.246,9,-2.375
290,0,17.206,11,-2.627
291,0,14.479,8,2.924
292,0,13.694,9,-3.659
293,1,14.826,10,8.606
294,0,17.793,10,5.034
295,0,12.629,7,-1.339
296,0,18.897,12,2.36
297,0,17.573,9,-1.333
298,0,15.995,9,-5.417
299,1,14.552,9,20.14
300,0,15.8,11,1.568
301,0,17.534,11,-1.914
302,2,13.945,8,26.78
303,1,13.892,8,15.746
304,0,16.009,9,0.347
305,0,12.664,8,-1.939
306,0,17.378,9,-0.842
307,0,14.039,9,0.544
308,0,17.883,11,5.678
309,0,17.043,10,1.986
310,0,14.908,10,5.951
311,0,16.336,9,5.41
312,0,16.818,9,-4.06
313,1,16.899,10,21.127
314,0,16.521,11,3.768
315,1,15.042,9,18.126
316,0,13.582,9,2.185
317,0,18.728,11,3.819
318,1,17.243,10,18.999
319,0,14.906,8,0.418
320,1,19.76,10,16.141
321,0,12.88,8,3.574
322,0,12.049,10,-5.905
323,0,16.205,10,1.624
324,0,16.141,10,-0.757
325,0,12.097,7,2.685
326,0,13.798,8,-3.158
327,2,18.988,12,25.358
328,0,14.855,11,6.307
329,0,14.042,8,-6.348
330,1,16.833,11,20.494
331,0,14.053,9,-4.602
332,1,14.867,9,9.03
333,0,15.354,10,0.973
334,1,18.731,11,6.907
335,0,18.299,12,1.006
336,1,18.921,11,10.792
337,1,17.141,12,15.543
338,0,18.216,11,-1.898
339,0,18.508,11,-12.37
340,0,17.16,10,1.228
341,0,16.992,10,0.619
342,1,18.16,9,10.244
343,0,17.194,9,-2.691
344,0,16.29,10,1.146
345,0,18.873,10,3.678
346,0,14.913,8,-3.27
347,0,14.49,11,-3.145
348,1,16.349,8,16.482
349,0,14.846,9,-4.062
350,0,18.597,12,-3.807
351,0,13.401,8,2.504
352,0,16.131,11,-7.374
353,0,14.026,8,1.467
354,0,17.097,10,3.118
355,0,16.148,11,5.989
356,2,13.226,8,29.734
357,0,17.755,12,-1.832
358,0,13.43,8,0.266
359,0,14.651,8,-6.409
360,0,15.262,10,-2.683
361,0,12.975,8,3.572
362,1,13.551,9,16.111
363,0,18.536,10,-3.808
364,1,16.664,10,11.65
365,0,17.948,10,3.567
366,0,16.088,10,-0.237
367,0,16.287,9,-2.379
368,0,16.065,9,-3.013
369,0,17.633,11,0.579
370,0,15.404,10,6.582
371,0,18.94,9,-3.714
372,0,14.605,8,3.701
373,3,14.137,8,78.772
374,0,15.743,8,-2.323
375,0,12.535,9,-3.768
376,0,16.447,10,-15.494
377,0,15.512,10,6.047
378,0,15.366,10,-2.815
379,0,18.849,10,0.459
380,0,13.781,8,-1.632
381,1,17.467,10,16.808
382,0,18.318,11,0.857
383,1,13.762,9,15.687
384,0,16.72,9,5.194
385,0,13.361,8,4.427
386,1,15.854,9,10.36
387,0,18.331,11,3.55
388,0,13.122,10,-0.537
389,0,14.668,9,4.789
390,1,18.857,12,18.083
391,0,15.109,11,-5.261
392,1,14.712,8,12.722
393,0,15.849,11,0.865
394,1,13.294,10,20.24
395,0,12.742,8,0.515
396,0,17.604,12,-13.105
397,0,17.63,10,-2.12
398,0,15.876,11,0.89
399,1,14.828,9,11.784
400,0,16.772,11,2.848
401,0,16.111,11,-2.733
402,0,18.724,11,3.112
403,0,16.344,10,-5.619
404,0,13.498,8,-3.474
405,0,16.673,10,6.355
406,0,18.511,11,-6.354
407,0,18.706,9,1.865
408,0,18.563,12,0.255
409,0,15.377,10,-2.117
410,1,15.648,11,17.437
411,0,15.212,10,-8.993
412,1,14.248,9,18.81
413,0,11.75,7,0.965
414,1,16.323,9,19.812
415,1,17.634,13,20.328
416,0,13.901,9,-1.84
417,1,14.619,11,14.831
418,0,16.465,11,-3.496
419,0,14.248,8,3.725
420,0,17.966,12,-3.925
421,0,14.913,9,1.601
422,0,14.443,8,1.3
423,1,12.725,8,16.712
424,0,18.745,13,5.575
425,1,15.692,11,15.684
426,0,17.32,11,2.855
427,0,16.719,11,-1.748
428,0,16.58,10,0.54
429,1,15.947,9,19.255
430,1,15.608,9,15.628
431,0,19.326,11,-1.509
432,0,14.895,10,4.376
433,0,16.421,11,2.101
434,0,15.114,9,2.239
435,1,15.321,9,17.405
436,0,14.005,8,2.041
437,1,17.575,10,14.181
438,0,13.911,8,3.273
439,0,15.083,10,-8.284
440,0,17.781,9,-6.839
441,1,16.565,10,19.566
442,0,15.77,12,0.323
443,0,12.867,7,-3.561
444,0,15.075,9,0.441
445,0,19.251,12,0.995
446,0,18.048,12,3.465
447,0,13.753,9,0.501
448,1,12.371,9,16.215
449,0,13.523,9,4.011
450,1,13.864,8,15.954
451,0,15.212,9,-1.743
452,1,16.049,11,18.194
453,0,13.569,8,-0.243
454,0,19.437,12,-4.644
455,0,15.419,11,3.678
456,0,17.272,9,2.396
457,0,12.275,8,3.543
458,0,15.498,9,-2.1
459,0,12.163,6,1.173
460,0,17.907,12,3.777
461,0,19.347,13,4.491
462,0,13.657,10,-7.077
463,0,14.387,9,-2.845
464,0,16.579,9,1.52
465,0,17.572,10,-8.982
466,0,17.086,9,-2.162
467,1,12.958,8,6.792
468,0,16.542,11,-1.065
469,0,16.412,10,4.021
470,0,18.522,10,-4.763
471,1,15.054,8,10.139
472,0,14.325,8,2.668
473,1,16.696,10,8.543
474,0,14.342,9,-8.18
475,0,14.447,9,2.739
476,0,16.939,10,-2.766
477,0,16.166,9,2.668
478,2,18.811,13,25.67
479,0,16.836,11,7.666
480,2,18.995,11,32.635
481,0,18.175,13,-5.92
482,0,16.2,10,0.772
483,0,17.239,11,0.77
484,0,17.98,11,0.568
485,0,15.914,10,-10.112
486,0,12.881,7,-5.552
487,1,11.983,8,10.018
488,0,14.582,7,-11.219
489,1,13.993,9,10.996
490,0,13.869,8,2.056
491,0,15.359,10,3.064
492,0,13.988,9,0.607
493,1,18.034,12,17.411
494,0,15.043,8,-1.061
495,0,13.54,10,-5.998
496,0,12.544,7,-2.332
497,1,18.852,11,20.359
498,0,18.267,11,0.892
499,0,16.248,8,-1.953
500,0,13.844,9,5.518
501,0,14.478,9,5.455
502,0,18.433,11,1.696
503,0,18.066,11,-4.329
504,0,13.787,8,4.481
505,0,14.591,10,1.441
506,0,15.868,10,-4.162
507,0,14.074,9,0.07
508,0,13.357,8,4.142
509,1,15.041,8,14.463
510,0,17.595,10,4.311
511,0,18.265,11,2.523
512,1,14.532,9,18.125
513,2,15.068,10,30.897
514,0,13.342,8,1.394
515,0,16.832,10,4.566
516,0,18.272,10,-2.952
517,0,16.276,12,-11.898
518,0,17.802,12,-0.154
519,0,14.542,8,0.816
520,1,18.334,11,20.825
521,0,14.824,9,3.488
522,0,18.093,11,-7.916
523,0,14.52,9,4.276
524,0,14.73,9,3.957
525,0,16.713,9,1.377
526,0,17.112,11,-0.748
527,0,14.818,9,1.74
528,0,18.161,10,-4.216
529,0,18.206,10,0.426
530,0,13.394,9,-0.714
531,0,17.945,11,-5.417
532,0,15.637,9,5.373
533,1,15.813,10,8.931
534,1,17.417,9,16.061
535,0,13.456,8,0.64
536,0,15.304,11,-2.161
537,0,14.594,8,-2.287
538,0,16.93,9,-5.043
539,0,18.458,11,-9.278
540,0,13.914,7,-0.521
541,1,14.84,9,16.726
542,0,16.741,10,-7.413
543,1,17.899,11,18.276
544,1,16.344,9,22.321
545,1,16.079,9,18.571
546,0,16.107,10,-2.021
547,0,17.309,10,-2.159
548,1,17.285,11,9.094
549,0,15.536,10,6.569
550,0,15.122,9,2.919
551,1,16.705,10,21.784
552,0,16.283,11,3.842
553,0,18.499,13,8.325
554,1,15.212,9,18.009
555,0,13.198,7,-1.974
556,1,13.611,9,14.165
557,0,14.364,8,-5.483
558,0,13.483,8,4.002
559,0,17.221,9,-2.552
560,0,13.703,7,-1.383
561,0,17.606,10,2.635
562,0,17.924,9,-3.767
563,0,17.472,12,-9.23
564,0,19.361,11,6.017
565,1,13.131,7,16.615
566,0,14.513,9,4.805
567,0,16.975,10,0.842
568,0,14.292,9,2.621
569,0,14.115,8,-6.355
570,1,18.914,11,20.757
571,0,11.888,7,1.251
572,0,16.322,10,2.349
573,1,19.483,12,16.407
574,0,14.648,9,6.088
575,0,14.364,11,-6.122
576,0,16.615,10,-3.228
577,1,18.796,10,19.038
578,1,16.52,11,12.002
579,0,18.038,10,-3.419
580,1,19.172,11,8.603
581,1,17.304,12,12.908
582,0,15.818,10,-1.484
583,0,16.37,10,5.015
584,0,17.355,11,1.408
585,0,17.636,11,1.096
