episode,deliveries_completed,fuel_used,steps_taken,reward
1,0,19.0,13,-9.648
2,0,18.0,13,-17.35
3,0,13.5,10,4.028
4,1,16.0,12,14.656
5,1,14.0,12,22.561
6,0,19.0,14,3.8
7,0,17.0,11,0.133
8,0,17.5,13,-6.854
9,0,14.0,200,-210.113
10,0,18.0,200,-186.584
11,1,16.0,12,14.228
12,0,12.5,200,-199.77
13,0,15.0,10,-6.157
14,2,18.5,14,37.224
15,0,13.5,200,-201.75
16,1,19.0,30,-4.839
17,0,14.5,13,-12.022
18,1,15.5,10,11.124
19,0,16.0,12,8.425
20,1,14.5,21,5.159
21,1,17.0,14,15.491
22,0,16.0,200,-203.976
23,0,16.0,13,6.85
24,0,17.5,14,3.72
25,0,13.5,200,-201.843
26,0,18.5,200,-194.389
27,0,14.0,11,7.478
28,0,11.0,200,-198.645
29,0,17.0,12,5.649
30,2,14.0,10,34.662
31,0,16.5,12,-12.378
32,0,17.0,13,-0.104
33,0,13.5,200,-198.35
34,0,18.5,13,-9.098
35,0,16.0,200,-189.2
36,2,18.5,12,24.491
37,0,13.5,200,-197.95
38,0,11.5,200,-200.33
39,0,19.0,14,-0.217
40,0,16.0,200,-195.854
41,1,17.5,11,12.606
42,1,17.0,11,19.733
43,0,13.5,200,-192.461
44,0,14.0,200,-206.121
45,1,14.5,11,20.539
46,0,17.0,13,-10.916
47,0,12.0,200,-199.327
48,0,17.0,200,-198.7
49,0,15.0,11,5.116
50,0,18.5,13,-2.056
51,0,17.0,13,2.62
52,0,11.0,200,-201.7
53,1,18.0,15,13.994
54,0,16.5,13,2.17
55,1,18.0,13,20.429
56,1,13.0,11,10.128
57,0,13.0,10,-5.954
58,0,17.5,14,4.999
59,1,17.5,13,19.66
60,1,18.0,14,24.067
61,1,14.0,11,6.317
62,0,15.5,200,-191.443
63,1,18.0,15,7.815
64,0,13.5,11,-8.573
65,0,18.5,14,1.92
66,0,14.0,11,3.648
67,0,16.5,12,-0.25
68,0,16.0,12,-0.957
69,1,18.0,28,-3.862
70,0,17.0,12,-2.654
71,0,14.5,11,0.628
72,1,14.0,11,19.52
73,1,15.0,12,20.605
74,0,11.5,200,-206.172
75,0,15.0,12,1.518
76,0,15.5,11,3.833
77,1,16.5,13,10.485
78,1,19.0,200,-180.61
79,0,18.0,14,4.466
80,0,19.0,13,-2.106
81,0,15.5,11,-13.842
82,0,14.0,200,-205.37
83,1,14.0,10,18.983
84,1,14.0,11,17.167
85,0,17.0,200,-199.33
86,0,14.5,11,-7.696
87,0,17.0,200,-203.896
88,0,16.0,12,-3.9
89,0,16.5,13,6.8
90,0,14.5,12,1.559
91,0,18.5,14,1.722
92,0,18.0,13,-5.45
93,0,13.5,200,-211.392
94,0,15.5,13,-3.289
95,0,13.0,200,-197.661
96,1,15.5,11,21.551
97,0,18.0,12,-2.456
98,0,16.5,12,-5.022
99,0,18.5,14,-2.075
100,0,15.5,13,2.572
101,0,17.5,13,-6.4
102,2,18.0,200,-157.424
103,1,15.0,11,18.867
104,0,18.5,13,-6.035
105,0,13.5,10,-1.276
106,0,13.0,200,-212.328
107,1,16.0,11,8.756
108,0,17.0,14,3.6
109,1,17.0,44,-15.937
110,2,16.0,13,36.66
111,1,19.5,62,-47.876
112,1,15.0,12,17.61
113,0,17.0,200,-199.3
114,0,13.0,10,0.411
115,1,18.0,24,-4.47
116,0,14.5,12,5.922
117,0,14.5,200,-192.46
118,1,16.5,15,14.243
119,1,18.5,55,-36.801
120,0,16.5,13,-8.6
121,0,13.5,10,4.618
122,0,13.5,200,-198.934
123,0,14.0,11,-0.309
124,0,12.5,200,-203.386
125,0,18.0,15,-9.75
126,0,11.5,200,-203.705
127,0,14.5,11,-2.0
128,1,18.0,13,18.744
129,0,17.5,200,-203.566
130,0,15.5,12,3.599
131,1,16.0,12,18.417
132,0,14.5,12,2.12
133,1,19.5,14,16.132
134,0,14.0,10,2.372
135,1,18.5,24,-6.303
136,0,13.5,10,-12.948
