#{"t_start": 1774802566.2353065, "env_id": "None"}
r,l,t
-35.159227,52,2.793893
-26.211033,61,2.843047
-1.073032,35,2.876604
-12.938897,39,2.913402
-19.611033,65,2.975004
-8.738897,33,3.00181
-6.161033,28,3.026791
-5.09641,46,3.067709
-21.995752,59,3.12674
-14.461033,32,3.159487
1.988872,40,3.199708
-12.388897,36,3.235482
-12.511033,33,3.265228
-20.188897,36,3.295662
5.825163,25,3.324915
-11.267982,68,3.408464
-13.811033,33,3.445465
-15.361033,36,3.476754
-4.388897,28,3.502434
-18.638897,47,3.54372
13.288872,25,3.567015
1.932018,35,3.595822
4.764316,31,3.614174
-11.611033,31,3.651645
2.138872,38,3.682838
-6.188897,26,3.705007
-7.938897,26,3.72892
7.427769,29,3.75526
-5.861033,28,3.781975
-1.309167,34,3.805324
-4.611128,44,3.83571
1.064316,33,3.866058
-14.488897,30,3.90374
-4.138897,25,3.925525
6.832018,30,3.947039
8.8946,24,3.964832
3.776968,27,3.987493
-6.861033,28,4.007793
12.538872,28,4.028965
-13.138897,29,4.049178
-10.011033,33,4.075309
14.716736,23,4.093458
4.838872,29,4.115651
2.4446,31,4.143991
-10.161033,30,4.167552
-29.588897,48,4.201479
-11.138897,29,4.225159
-0.467982,41,4.259672
-6.388897,30,4.285856
-20.485109,37,4.313954
4.20359,29,4.335719
-8.681221,70,4.397667
12.316736,26,4.421587
-21.474837,69,4.479047
-1.435684,38,4.507085
8.138872,29,4.531391
-12.911033,35,5.704982
15.938872,23,5.730267
4.532018,55,5.78382
4.5446,28,5.813988
-6.838897,29,5.839521
0.799342,32,5.890262
-4.322231,37,5.949035
-10.211033,29,5.984055
-0.6054,34,6.031216
-2.438897,23,6.063548
-10.238897,29,6.092154
8.289761,21,6.110368
-4.961128,38,6.145895
11.60359,23,6.16608
0.75359,43,6.204432
-11.538897,31,6.23208
-6.188897,26,6.25766
-10.311033,37,6.291869
-12.924179,27,6.317588
2.376968,27,6.341788
-5.588897,26,6.365545
-8.411033,31,6.395996
-4.088897,26,6.423708
10.818779,24,6.443856
-11.988897,34,6.475004
14.110445,26,6.496694
13.466736,24,6.517224
-12.263453,27,6.53979
-13.961033,42,6.578746
-7.388897,28,6.603588
18.110445,21,6.624183
2.326968,29,6.649502
13.777769,21,6.670611
12.510445,27,6.693255
12.056196,27,6.714429
