#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
1.433765,10,4.743771
-5.266724,11,4.753988
4.040383,10,4.769818
-4.642177,10,4.778738
4.473192,10,4.785832
-6.568735,10,4.801952
3.229546,8,4.816329
-3.427463,9,4.830528
1.867574,10,4.846378
-2.999915,10,4.862135
4.789754,10,4.872231
0.804099,9,4.878578
11.451705,11,4.887724
-2.750433,8,4.898046
1.824062,8,4.90531
-4.715768,9,4.913922
-5.56687,9,4.923526
2.706454,8,4.931033
10.803202,8,4.940175
14.871593,11,4.950214
1.110751,11,4.959288
18.116365,8,4.964437
-3.954018,13,4.984499
-2.746419,11,4.996424
0.21854,9,5.008846
0.588962,10,5.012357
-0.607479,11,5.029054
0.536175,12,5.044
-0.142604,10,5.058995
4.648472,9,5.068097
6.211518,11,5.078817
16.101399,9,5.089366
-2.374641,9,5.099931
-2.626922,11,5.11614
2.923643,8,5.117648
-3.659228,9,5.128523
8.606163,10,5.141747
5.034429,10,5.152147
-1.338874,7,5.158983
2.3597,12,5.171627
-1.333255,9,5.178571
-5.417227,9,5.192231
20.140325,9,5.200292
1.568229,11,5.211143
-1.914051,11,5.219202
26.779922,8,5.228833
15.745739,8,5.237242
0.347322,9,5.250091
-1.938569,8,5.261952
-0.84159,9,5.270524
0.544174,9,5.278666
5.678101,11,5.290418
1.985504,10,5.301921
5.951324,10,5.31433
5.410156,9,5.317841
-4.059651,9,5.333853
21.126809,10,5.356409
3.767855,11,5.378647
18.126149,9,5.397601
2.185197,9,5.411241
3.819343,11,5.424112
18.998653,10,5.43263
0.418095,8,5.440723
16.140647,10,5.450086
3.573937,8,5.45731
-5.904855,10,5.465447
1.623734,10,5.475554
-0.757252,10,5.485397
2.684577,7,5.491165
-3.158107,8,5.50036
25.35805,12,5.509046
6.306621,11,5.51551
-6.347951,8,5.528941
20.493586,11,5.536645
-4.601551,9,5.536645
9.029949,9,5.556942
0.973313,10,5.566997
6.907042,11,5.571116
1.005722,12,5.585259
10.792472,11,5.585259
15.542565,12,5.610941
-1.897552,11,5.617565
-12.370404,11,5.630606
1.228274,10,5.640863
0.61863,10,5.649911
10.243822,9,5.659333
-2.690523,9,5.667359
1.146396,10,5.678592
3.678271,10,5.690493
-3.269602,8,5.702044
-3.14517,11,5.715566
16.481812,8,5.728728
-4.062422,9,5.742376
-3.807256,12,5.754812
2.504136,8,5.763367
-7.374188,11,5.778812
1.466972,8,5.791861
3.118177,10,5.801029
5.989129,11,5.813072
29.734241,8,5.821905
-1.832387,12,5.833125
0.265632,8,5.842671
-6.408835,8,5.850477
-2.682519,10,5.859373
3.572495,8,5.86811
16.11062,9,5.879305
-3.80776,10,5.900331
11.650315,10,5.915265
3.56714,10,5.933223
-0.236696,10,5.946485
-2.378689,9,5.962694
-3.012834,9,5.971976
0.578584,11,5.990525
6.581837,10,6.000141
-3.714284,9,6.014073
3.701388,8,6.023825
78.771577,8,6.034302
-2.323453,8,6.045865
-3.768395,9,6.057603
-15.493849,10,6.067119
6.047188,10,6.080677
-2.814933,10,6.085357
0.459376,10,6.100712
-1.631868,8,6.109277
16.807956,10,6.115977
0.857454,11,6.131879
15.686698,9,6.141313
5.194405,9,6.150077
4.427338,8,6.163476
10.359674,9,6.179249
3.550389,11,6.195384
-0.536724,10,6.204822
4.789467,9,6.213808
18.083428,12,6.228603
-5.260934,11,6.24067
12.722,8,6.250216
0.865052,11,6.259031
20.239612,10,6.270502
0.514667,8,6.27875
-13.10463,12,6.287188
-2.119883,10,6.305195
0.890308,11,6.317221
11.783875,9,6.32658
2.848203,11,6.338825
-2.733228,11,6.35254
3.111748,11,6.365667
-5.619153,10,6.375333
-3.474318,8,6.381442
6.354918,10,6.40221
-6.353557,11,6.413394
1.864685,9,6.424544
0.254788,12,6.436066
-2.116685,10,6.447623
17.437056,11,6.45984
-8.993289,10,6.468569
18.809847,9,6.480199
0.964796,7,6.49025
19.812202,9,6.505682
20.327824,13,6.528803
