episode,deliveries_completed,fuel_used,steps_taken,reward
1,0,24.0,52,-35.159
2,0,32.0,61,-26.211
3,1,22.0,35,-1.073
4,0,24.0,39,-12.939
5,0,42.0,65,-19.611
6,0,20.0,33,-8.739
7,0,20.0,28,-6.161
8,1,26.0,46,-5.096
9,0,38.0,59,-21.996
10,0,20.0,32,-14.461
11,1,23.5,40,1.989
12,0,20.0,36,-12.389
13,0,20.0,33,-12.511
14,0,20.0,36,-20.189
15,1,20.0,25,5.825
16,1,40.0,68,-11.268
17,0,20.0,33,-13.811
18,0,20.0,36,-15.361
19,0,20.0,28,-4.389
20,0,26.0,47,-18.639
21,1,20.0,25,13.289
22,1,20.0,35,1.932
23,1,20.0,31,4.764
24,0,20.0,31,-11.611
25,1,22.0,38,2.139
26,0,20.0,26,-6.189
27,0,19.5,26,-7.939
28,1,20.0,29,7.428
29,0,20.0,28,-5.861
30,1,20.0,34,-1.309
31,1,26.0,44,-4.611
32,1,20.0,33,1.064
33,0,20.0,30,-14.489
34,0,20.0,25,-4.139
35,1,20.0,30,6.832
36,1,20.0,24,8.895
37,1,20.0,27,3.777
38,0,20.0,28,-6.861
39,1,19.5,28,12.539
40,0,20.0,29,-13.139
41,0,22.0,33,-10.011
42,1,19.5,23,14.717
43,1,20.0,29,4.839
44,1,20.0,31,2.445
45,0,20.0,30,-10.161
46,0,20.0,48,-29.589
47,0,19.0,29,-11.139
48,1,24.0,41,-0.468
49,0,20.0,30,-6.389
50,0,20.0,37,-20.485
51,1,20.0,29,4.204
52,1,44.0,70,-8.681
53,1,19.0,26,12.317
54,1,36.0,69,-21.475
55,1,22.0,38,-1.436
56,1,20.0,29,8.139
57,0,20.0,35,-12.911
58,1,19.0,23,15.939
59,1,40.0,55,4.532
60,1,20.0,28,4.545
61,0,20.0,29,-6.839
62,1,22.0,32,0.799
63,1,20.0,37,-4.322
64,0,20.0,29,-10.211
65,1,20.0,34,-0.605
66,0,20.0,23,-2.439
67,0,20.0,29,-10.239
68,1,20.0,21,8.29
69,1,20.0,38,-4.961
70,1,20.0,23,11.604
71,1,28.0,43,0.754
72,0,20.0,31,-11.539
73,0,19.0,26,-6.189
74,0,26.0,37,-10.311
75,0,20.0,27,-12.924
76,1,20.0,27,2.377
77,0,20.0,26,-5.589
78,0,20.0,31,-8.411
79,0,20.0,26,-4.089
80,1,20.0,24,10.819
81,0,20.0,34,-11.989
82,1,20.0,26,14.11
83,1,19.5,24,13.467
84,0,20.0,27,-12.263
85,0,26.0,42,-13.961
86,0,20.0,28,-7.389
87,1,19.5,21,18.11
88,1,20.0,29,2.327
89,1,20.0,21,13.778
90,1,20.0,27,12.51
91,1,20.0,27,12.056
92,1,20.0,32,1.845
93,0,19.5,28,-8.039
94,0,20.0,33,-15.939
