deliveries_completed,fuel_used,steps_taken,reward
0,19.775340849791398,13,-16.72198280951515
0,19.673326711402595,16,-20.56178139567627
0,19.363522891380764,21,-20.19501457604718
0,17.792215888480126,21,-27.95209743813021
0,18.26110135015277,27,-33.60662683705107
1,19.377202840568653,20,-17.96925842024817
0,27.1622219430339,26,-21.046738896339185
0,18.198885356509773,17,-15.864337260186987
0,18.37278734977068,19,-20.110154584259266
0,19.46643906608779,16,-12.541092631144789
0,31.37480425472911,33,-27.38192915000891
0,18.91850084981266,21,-17.972366787017066
0,35.88121144309758,28,-15.082569868845766
0,19.617712223154687,19,-18.734647071597667
0,18.16960044129943,22,-25.525622331039045
0,19.917057546747053,15,-8.55036804158381
1,18.738231668494386,25,-20.884856570921038
1,32.28161760014463,30,-14.179336869254861
0,35.43352949958106,31,-22.387801674494114
0,39.31822292159643,44,-38.04048457906873
0,19.54804995816627,21,-24.961531380521016
0,18.687555178710888,19,-17.3132042424071
0,22.539354544115508,25,-25.39838417894756
0,18.565904114123235,13,-9.837107113448123
0,18.17406712214307,18,-15.811855436750317
0,19.462748453254846,20,-20.840723569861495
0,19.976621148682227,25,-23.056324401777324
0,19.198678732570762,14,-9.614316597793085
0,19.269574185559993,23,-26.907474120591797
0,57.23655457680637,65,-61.60417215971647
0,18.746769478089167,26,-35.469125672344916
0,19.254643048255627,22,-22.13412659173467
0,19.365676191859368,21,-23.281016343721944
0,19.899736201512574,23,-20.970490322187054
0,19.403938369395515,24,-25.549056123848654
0,19.835475235479375,28,-42.58354752354792
0,19.108264039288926,15,-13.71755278863328
0,19.75266144270088,17,-17.019714868806098
0,18.64689707039844,15,-13.837565556322044
0,24.515265823948365,26,-20.46018886930394
1,35.52361918946035,35,-24.091259368018044
0,19.56205159413207,23,-20.306205159413203
1,19.32142393083504,12,1.4647465954713823
1,18.50578624649059,12,-4.64502734918507
0,19.209686541055934,21,-27.501485356141394
0,18.233535970708093,18,-15.317802321606822
0,31.285539298485844,29,-22.487216216757687
0,18.954552455214554,16,-8.989903970057465
0,18.86224463321637,16,-13.216741165357437
0,19.23636303607914,11,-5.5041530056437145
0,19.336923959680128,17,-13.392354682877116
1,22.631593596290863,25,-14.907608084165094
0,19.28323207305344,17,-6.472771931841354
0,17.383809801583723,14,-17.095107364862763
1,19.067276322991017,13,-0.6511763568351121
0,19.773878068104267,14,-8.586050093719532
1,28.02086006231735,22,-6.596534730767743
0,19.583507993902728,21,-21.274935478925862
0,19.383507225282788,16,-14.947013009437384
0,18.534871830046168,12,-6.062149469913723
1,18.382000525152023,20,-14.23264877705121
0,18.2062896538729,15,-12.9650776899233
0,18.924594627226337,18,-24.38690818725864
0,21.158144070809524,21,-22.78869025636315
0,19.40614894048662,13,-8.185063618584671
0,19.439197036389352,20,-18.57443640567473
0,17.890855208984593,14,-11.31196137018066
0,19.640971613488897,16,-15.29461386338469
1,18.923730960884473,24,-17.481270545160466
1,19.87068325577369,15,-4.525965774649391
0,17.925650988969288,13,-10.451227385806034
0,19.86879182325925,17,-12.031327906861934
0,19.300678409671523,14,-14.730067840967152
0,19.307633558327932,21,-24.275212080368803
1,18.68909700112712,11,-2.213358424648722
0,19.089550832478583,21,-15.753403807783865
0,19.497831028215234,12,-5.744231827357533
0,18.769893805201264,15,-16.757506082555928
0,18.7459001729506,23,-27.855106719330855
0,18.577097071709535,16,-14.452158431706964
0,19.454726250009347,15,-14.695472625000935
0,19.031582942936904,18,-22.52071264444736
0,19.250507970254006,17,-21.575050797025398
0,22.45403701806868,21,-20.589852426342876
0,19.852967982890295,19,-18.66581350032483
0,19.998012987654946,21,-14.344250023301505
0,19.024851027206573,15,-11.046933827256668
1,17.40613102144454,14,-5.572151238335761
0,17.996515659306215,14,-12.994100290466632
0,23.269356588402303,22,-18.35745236087603
0,18.742904923926453,13,-13.947166341674844
0,18.34641182603687,17,-16.8790899071397
1,18.898540765342837,15,-3.171392212725589
1,17.545436659514223,14,-2.9489923904874322
0,19.296591460298014,12,-9.638321432938907
0,18.63981216210682,16,-14.563981216210681
0,19.752533562899753,20,-22.869702080825984
1,19.61140623640177,13,-2.4284651974583884
0,26.804304005948048,20,-7.810947102630605
0,18.250723714722664,17,-19.605589073508067
0,18.18460668064748,16,-22.075187052769138
1,18.316504448600934,15,-3.198975018678304
1,19.95698473988743,16,-9.984595923060766
0,19.121844581402364,13,-11.392701160176037
0,19.281510744079217,16,-14.62815107440792
0,19.408897871573217,13,-8.099552074066425
1,18.408528820315222,14,-5.092027991271923
0,19.206588251233075,15,-15.227385209827695
1,19.992816545014723,18,-9.624247081073282
0,31.103607762590983,22,-10.904809500795109
1,18.40299793805038,13,-3.715265220376848
0,19.47829267928111,15,-16.00649155483722
0,19.046488748734166,21,-17.485165576909214
1,19.694756195466244,11,1.6293492712129751
0,19.28487091511212,17,-15.387149378420318
0,19.561897809976447,16,-17.712916165702033
0,18.706073025156623,11,-6.215056027051672
0,17.877283369790202,11,-9.13217706151503
1,19.373759545638237,15,-6.581824679099833
0,18.962654254323027,13,-5.140714149968312
0,17.70947821819485,18,-20.001464523855283
0,17.161334573089512,13,-6.696650159344752
0,19.702423101757063,15,-14.850759012211507
0,19.502439069932837,15,-13.094692631529293
