#{"t_start": 1774803015.1120923, "env_id": "None"}
r,l,t
-9.648039,13,0.274032
-17.35,13,0.326791
4.027821,10,0.340428
14.656024,12,0.35598
22.560619,12,0.371681
3.8,14,0.392859
0.132675,11,0.409794
-6.853789,13,0.427902
-210.112731,200,0.63039
-186.583592,200,0.803995
14.227769,12,0.816417
-199.769768,200,0.982606
-6.156854,10,0.996132
37.223609,14,1.012589
-201.75,200,1.174914
-4.839061,30,1.201907
-12.022205,13,1.215259
11.123521,10,1.217273
8.424515,12,1.22889
5.15944,21,1.255773
15.491305,14,1.270443
-203.976227,200,1.458946
6.85,13,1.476266
3.72033,14,1.497135
-201.84254,200,1.801983
-194.388783,200,1.984956
7.477864,11,1.999885
-198.645026,200,2.165591
5.649111,12,2.188888
34.661904,10,2.199863
-12.377864,12,2.212309
-0.103789,13,2.22426
-198.35,200,3.534526
-9.098039,13,3.546571
-189.2,200,3.715076
24.490773,12,3.72511
-197.95,200,3.893176
-200.329501,200,4.058854
-0.217325,14,4.065221
-195.854226,200,4.233848
12.606024,11,4.243868
19.733478,11,4.254245
-192.461456,200,4.408648
-206.121452,200,4.56537
20.538872,11,4.581105
-10.915525,13,4.581105
-199.326516,200,4.749885
-198.7,200,4.902434
5.115525,11,4.913285
-2.056291,13,4.924091
2.62033,13,4.936729
-201.7,200,5.094817
13.993641,15,5.108942
2.17033,13,5.118618
20.428826,13,5.128651
10.128098,11,5.140246
-5.954248,10,6.309021
4.999111,14,6.328186
19.660375,13,6.343451
24.066667,14,6.359318
6.316667,11,6.370918
-191.443009,200,6.549727
7.814839,15,6.562864
-8.573484,11,6.562864
1.92033,14,6.590565
3.648039,11,6.599829
-0.25,12,6.611153
-0.956854,12,6.622943
-3.862202,28,6.648261
-2.653789,12,6.659588
0.627864,11,6.671645
19.520166,11,6.684665
20.605314,12,6.696849
-206.172205,200,6.849741
1.517784,12,6.864486
3.833477,11,6.878286
10.485014,13,6.890867
-180.610065,200,7.049902
4.465525,14,7.064833
-2.106291,13,7.074487
-13.842136,11,7.08615
-205.369642,200,7.249971
18.983075,10,7.258694
17.166667,11,7.264585
-199.32967,200,7.42849
-7.696128,11,7.44035
-203.895924,200,7.602143
-3.9,12,7.616274
6.8,13,7.627825
1.558671,12,7.629174
1.721573,14,7.652107
-5.45,13,7.660478
-211.392333,200,7.819965
-3.288897,13,7.833709
-197.661103,200,8.032934
21.550706,11,8.050115
-2.456291,12,8.062841
-5.022136,12,8.071079
-2.074555,14,8.091768
2.571573,13,9.17483
-6.4,13,9.189735
-157.424097,200,9.349884
18.866667,11,9.364412
-6.035109,13,9.378454
-1.275925,10,9.378454
-212.327864,200,9.549647
8.756127,11,9.558621
3.6,14,9.563212
-15.937425,44,9.610583
36.659837,13,9.625675
-47.875756,62,9.678562
17.610056,12,9.678562
-199.3,200,9.870825
0.411103,10,9.884676
-4.469881,24,9.913332
5.921573,12,9.928357
-192.460232,200,10.100661
14.243183,15,10.11788
-36.801201,55,10.167341
-8.6,13,10.182426
4.617661,10,10.19419
-198.933592,200,10.365186
-0.308815,11,10.373795
-203.385887,200,10.563079
-9.75,15,10.576513
-203.704504,200,10.766744
-2.0,11,10.788085
18.744488,13,10.805264
-203.566408,200,10.969222
3.599111,12,10.982715
18.416667,12,10.99477
2.12033,12,11.006589
16.131948,14,11.020775
2.371573,10,12.069421
-6.303454,24,12.08115
-12.948039,10,12.104221
14.619273,12,12.113597
-194.498039,200,12.292045
0.691573,11,12.299852
-2.778427,11,12.311084
-12.25,13,12.325813
-3.396211,11,12.331743
21.880563,14,12.35198
7.66022,15,12.365668
-210.717962,200,12.565684
-4.332299,11,12.586849
5.999111,12,12.601943
-2.572136,11,12.611486
3.044272,12,12.625149
-15.315525,9,12.638191
2.206854,14,12.657527
-198.291404,200,12.83726
0.277864,11,12.846255
17.951845,14,12.86187
-4.1,10,12.873304
10.183075,11,12.887332
18.101948,13,12.903584
16.548076,11,12.921047
18.115297,13,12.937619
21.350706,11,12.950311
-197.65,200,13.149892
-194.387269,200,13.328634
-11.739768,13,13.335405
18.244531,12,13.358958
18.886953,10,13.369756
4.748363,11,13.379837
-4.525445,12,13.391862
-198.799111,200,13.556734
-4.046211,11,13.566498
-1.611033,13,13.582297
-0.753789,15,13.599678
-15.065525,11,13.610823
15.608569,12,13.621513
-0.362652,11,13.632056
23.810939,13,13.644109
-10.943146,13,13.649917
-206.576897,200,13.835973
-15.907621,30,13.862769
-202.793379,200,15.087985
-0.606854,10,15.100047
-0.45,14,15.11269
-204.08238,200,15.277402
4.417661,10,15.28529
9.529318,13,15.300246
17.264706,11,15.310985
-200.769865,200,15.482617
-1.675445,14,15.499922
15.172842,12,15.51537
-1.322136,10,15.526155
11.638803,12,15.539951
7.942136,12,15.554105
3.87033,11,15.564397
7.496088,12,15.576192
-201.12033,200,15.773439
-199.82033,200,15.954361
20.222915,12,15.96902
17.966061,12,15.981238
14.882511,13,15.992768
-209.613452,200,16.149945
0.2,12,16.159351
-2.416831,12,16.174769
2.684113,10,16.1848
-0.927864,11,16.19112
14.47731,9,16.199982
12.431948,12,16.214552
-2.8,10,16.223036
-206.001961,200,16.392349
-205.704155,200,16.585769
-202.600536,200,16.749779
-4.917701,14,16.761029
23.07664,14,16.776012
14.118779,12,16.787866
4.365525,11,16.799939
7.316667,12,16.808617
-17.392136,13,16.823346
-200.75746,200,18.272281
17.169649,13,18.292914
5.281546,12,18.310818
-7.128427,12,18.328549
15.003214,11,18.342441
-201.011993,200,18.526364
9.67487,10,18.542976
-9.460308,25,18.565939
-201.982093,200,18.728662
2.92033,12,18.743043
-4.156854,10,18.754867
2.043389,13,18.768712
2.5,13,18.781994
-185.067657,200,18.940647
-7.874555,14,18.950234
-8.824118,13,18.967896
-0.425445,13,18.983758
12.788803,13,18.998347
-184.022422,200,19.155808
0.1,15,19.17098
-6.509391,33,19.202209
9.249836,12,19.215747
23.269786,13,19.230285
-0.825925,14,19.246061
2.393389,11,19.258656
18.086996,13,19.271857
-3.75,15,19.278649
-8.013145,12,19.299689
-210.739089,200,19.45417
21.289827,11,19.466789
-6.443709,14,19.482076
-5.4,15,19.497591
31.185281,16,19.510863
17.969732,12,19.524628
-1.347394,12,19.537881
-9.311103,10,19.54715
20.743614,11,19.550076
15.816667,14,19.563868
14.802632,13,19.580116
12.121102,14,19.580116
-1.462582,12,19.606111
-3.35,15,19.621188
-3.45,13,19.633558
-0.888897,11,19.643335
4.415525,10,19.654187
-5.061103,12,19.665252
4.95,12,19.678283
-7.444272,11,19.678283
21.632688,12,19.699733
-203.248294,200,19.865516
-205.743312,200,21.179996
9.544531,12,21.199914
5.45238,10,21.210057
2.439768,12,21.223898
17.914706,12,21.236989
5.620455,13,21.252332
37.676453,12,21.258847
-4.05,10,21.264077
1.741902,15,21.289473
